,city,date,cloudiness,humidity,lat,lng,maxtemp,windspeed
0,Sarangani,1589176869,57,75,5.4,125.46,85.12,12.68
1,Ilebo,1589176869,22,92,-4.32,20.58,73.65,0.72
2,Nagtipunan,1589176869,76,45,16.22,121.6,92.21,4.59
3,Ushuaia,1589176759,40,75,-54.8,-68.3,41.0,9.17
4,Mataura,1589176869,100,87,-46.19,168.86,50.07,2.59
5,Puerto Ayora,1589176870,1,94,-0.74,-90.35,75.99,5.46
6,Hermanus,1589176870,6,96,-34.42,19.23,55.99,1.99
7,Esperance,1589176842,52,30,-33.87,121.9,71.6,10.29
8,Khatanga,1589176870,87,99,71.97,102.5,31.51,3.96
9,Rikitea,1589176871,42,75,-23.12,-134.97,75.07,9.78
10,Araouane,1589176871,77,14,18.9,-3.53,84.24,10.78
11,Aksarka,1589176871,62,81,66.56,67.8,42.3,7.14
12,Hilo,1589176872,75,65,19.73,-155.09,77.0,3.27
13,Albany,1589176872,100,68,42.6,-73.97,43.0,2.55
14,Egtved,1589176872,6,66,55.62,9.3,41.0,9.17
15,Linxia Chengguanzhen,1589176873,7,32,35.6,103.21,60.53,3.58
16,Bambous Virieux,1589176873,75,50,-20.34,57.76,77.0,11.41
17,Los Llanos de Aridane,1589176873,48,72,28.66,-17.92,66.2,5.82
18,Makakilo City,1589176874,20,69,21.35,-158.09,78.8,3.36
19,Kruisfontein,1589176874,0,66,-34.0,24.73,59.59,5.64
20,Genhe,1589176874,62,36,50.78,121.52,52.54,16.55
21,Traverse City,1589176875,90,69,44.76,-85.62,35.6,8.05
22,Vao,1589176875,48,68,-22.67,167.48,71.6,8.21
23,Lebu,1589176875,84,86,-37.62,-73.65,51.35,3.58
24,Aksu,1589176875,74,19,41.12,80.26,75.87,6.38
25,Punta Arenas,1589176876,75,86,-53.15,-70.92,39.2,13.87
26,Pangnirtung,1589176876,100,91,66.15,-65.71,23.83,12.62
27,Richards Bay,1589176876,0,54,-28.78,32.04,65.1,5.77
28,Severo-Kuril'sk,1589176876,100,83,50.68,156.12,36.01,8.37
29,Maceió,1589176673,75,100,-9.67,-35.74,73.4,3.36
30,Soyo,1589176877,95,86,-6.13,12.37,77.97,3.83
31,Provideniya,1589176878,100,94,64.38,-173.3,36.68,8.23
